n_samples,Eps_modes,Algorithm,ARI,Std_ARI,NMI,Std_NMI,MSE,Std_MSE,Mean_Runtime(s),Std_Runtime(s),Silverman_h,standardized_features,dpgrams_c_clip_multiplier,dpgrams_c_kappa_init,dpgrams_c_init_epsilon_frac,dpgrams_c_c_rho,dpgrams_c_candidate_points
700,0.1,DP-GRAMS-C,0.4632808985519903,0.14975585455993864,0.6200125253210615,0.11081707965148525,4.242240415054869,5.443679915134337,0.0057484030723571776,0.0017321469325616177,0.4576049929961959,True,0.1,5.0,0.1,2.0,None
700,0.1,DP-KMeans,0.5745947167089624,0.15404141786490236,0.6787739725141714,0.1270246457753436,1.3340559371259926,0.5610839679479077,0.006752669811248779,0.0005678485709332089,0.4576049929961959,True,,,,,
700,0.2,DP-GRAMS-C,0.656009872125447,0.09722489662102234,0.7575504796207791,0.0641564138360846,0.5081205893772961,0.280949502916382,0.004824721813201904,4.514500602304283e-05,0.4576049929961959,True,0.1,5.0,0.1,2.0,None
700,0.2,DP-KMeans,0.551530533727545,0.17336385563072784,0.6730105406927389,0.13541030975834825,1.5934132549176436,0.7429821908992754,0.006836581230163574,0.0005008430505043877,0.4576049929961959,True,,,,,
700,0.5,DP-GRAMS-C,0.8395742519663433,0.11226418857472349,0.864926913816238,0.06546835786220521,0.15936316437895395,0.1043223876586763,0.004920923709869384,0.00014159203543834072,0.4576049929961959,True,0.1,5.0,0.1,2.0,None
700,0.5,DP-KMeans,0.5978259110309889,0.14764699281545368,0.7136027617238823,0.11004210694301193,1.3238091164403993,0.7238219850492711,0.006599891185760498,0.0005694239193783231,0.4576049929961959,True,,,,,
700,1.0,DP-GRAMS-C,0.8936349129117008,0.0615415552573433,0.8974907027330742,0.034728502318107216,0.08943117376205485,0.05107444510686508,0.004917991161346435,4.123270120472023e-05,0.4576049929961959,True,0.1,5.0,0.1,2.0,None
700,1.0,DP-KMeans,0.6906455883284954,0.07454103433385731,0.7811770044146187,0.04101469141651281,0.7034108555462304,0.511848038683521,0.006761741638183594,0.0003761228418029884,0.4576049929961959,True,,,,,
700,5.0,DP-GRAMS-C,0.9257834390682257,0.014458676844700886,0.9142242983863786,0.011265899590907884,0.03924194873858394,0.012721227526836364,0.005120229721069336,0.00041841134347629687,0.4576049929961959,True,0.1,5.0,0.1,2.0,None
700,5.0,DP-KMeans,0.7539501538494229,0.1423463694354684,0.8189622852183215,0.08149833185116234,0.6491839353276471,0.6084386892036416,0.01159355640411377,0.0008994737729095121,0.4576049929961959,True,,,,,
1000,0.1,DP-GRAMS-C,0.5029492667172009,0.10339530479503871,0.6094505065738345,0.09231688215401158,3.6853664128822627,4.342340403624876,0.005733299255371094,3.6976658891307596e-05,0.4311025431927517,True,0.1,5.0,0.1,2.0,None
1000,0.1,DP-KMeans,0.418507072641344,0.12902746903102338,0.553339409910958,0.1160557249001967,2.412185993396173,1.1974049377073541,0.007168364524841308,0.0005193090636665276,0.4311025431927517,True,,,,,
1000,0.2,DP-GRAMS-C,0.6274032560817352,0.11824446832947512,0.7024819171131578,0.08317145896304497,0.7825365039893017,1.5689882573230198,0.005743443965911865,3.307985716044216e-05,0.4311025431927517,True,0.1,5.0,0.1,2.0,None
1000,0.2,DP-KMeans,0.4143980090992492,0.10252962123124482,0.5306716857084768,0.09799617761441619,2.0793030635963405,0.8085340829911536,0.007004106044769287,0.0005229207623707688,0.4311025431927517,True,,,,,
1000,0.5,DP-GRAMS-C,0.7749694663183997,0.06192806664185727,0.8014639187101269,0.02788192317657046,0.12137332649309152,0.1871393445799886,0.005755579471588135,4.0239450263982124e-05,0.4311025431927517,True,0.1,5.0,0.1,2.0,None
1000,0.5,DP-KMeans,0.510605371819475,0.08443679104333197,0.6184468544885451,0.06898531203875519,1.5019693585371205,0.7129077126830172,0.006949663162231445,0.0005156490660272467,0.4311025431927517,True,,,,,
1000,1.0,DP-GRAMS-C,0.7630992173214246,0.07076757672079512,0.8054489521992764,0.02832517688715324,0.162073622364937,0.24716140576897294,0.005742406845092774,3.246332410661208e-05,0.4311025431927517,True,0.1,5.0,0.1,2.0,None
1000,1.0,DP-KMeans,0.59625557591159,0.136871690734878,0.683889853320404,0.10346183925686359,0.6841007497402234,0.7552552966473868,0.006949770450592041,0.00040607928474722564,0.4311025431927517,True,,,,,
1000,5.0,DP-GRAMS-C,0.7801389295036933,0.06379821760774963,0.8095473449261812,0.02690943677122835,0.0843649346397941,0.05941849535460487,0.005763781070709228,3.95795609788599e-05,0.4311025431927517,True,0.1,5.0,0.1,2.0,None
1000,5.0,DP-KMeans,0.6588911111698273,0.09185777217889289,0.7417891676663422,0.07142890214102357,0.806010021678828,0.7290162789925275,0.01696368455886841,0.001581148992283555,0.4311025431927517,True,,,,,
2000,0.1,DP-GRAMS-C,0.6640980377908214,0.03788721296774428,0.7692396877151746,0.033417947051921304,0.7332494772790854,0.6514841262575316,0.008532726764678955,4.6921923748946815e-05,0.38397262589191505,True,0.1,5.0,0.1,2.0,None
2000,0.1,DP-KMeans,0.4970108412366742,0.14438537179347577,0.6203526200686544,0.1297874908021129,1.734015755109724,0.8658111255541278,0.007945144176483154,0.0002752432487628352,0.38397262589191505,True,,,,,
2000,0.2,DP-GRAMS-C,0.6688706846224899,0.0371618562769988,0.7900527639660326,0.0142539584130974,0.5701974265663322,0.4878564071099123,0.008530259132385254,2.6354577430542087e-05,0.38397262589191505,True,0.1,5.0,0.1,2.0,None
2000,0.2,DP-KMeans,0.5867881862701688,0.13309234983378573,0.6985851471961768,0.1122059856436053,1.2053863880048703,0.893507756256903,0.007963132858276368,8.031965491629439e-05,0.38397262589191505,True,,,,,
2000,0.5,DP-GRAMS-C,0.6612454816179296,0.034191662028016406,0.780908365302535,0.01962285672711266,0.5788658879997903,0.5708745372155347,0.008597660064697265,4.544344888727633e-05,0.38397262589191505,True,0.1,5.0,0.1,2.0,None
2000,0.5,DP-KMeans,0.6875830685949195,0.030375113501967914,0.8027070743927478,0.037246941565912614,0.6707691946120586,0.438815491626489,0.007839536666870118,0.000181961834304088,0.38397262589191505,True,,,,,
2000,1.0,DP-GRAMS-C,0.6800441397570366,0.0378254413252975,0.7773041400421339,0.017905621561889094,0.3435284553018324,0.5002339542466144,0.008585608005523682,3.404668231925226e-05,0.38397262589191505,True,0.1,5.0,0.1,2.0,None
2000,1.0,DP-KMeans,0.6717132235114336,0.08291059699408948,0.789434345834611,0.06766510993951208,0.612967912247453,0.5538381360126768,0.007820320129394532,0.00016929738395835548,0.38397262589191505,True,,,,,
2000,5.0,DP-GRAMS-C,0.6943907344694767,0.03899132513467663,0.7815328752181511,0.010665422611054126,0.2902576801853118,0.4840627358909676,0.008966493606567382,0.0007039574522201416,0.38397262589191505,True,0.1,5.0,0.1,2.0,None
2000,5.0,DP-KMeans,0.6831752364118584,0.039860724765692114,0.7942369768267687,0.015019524274829494,0.5609695693090562,0.5853671676008656,0.02322436571121216,0.0007777010376464062,0.38397262589191505,True,,,,,
5000,0.1,DP-GRAMS-C,0.991676254530798,0.014087379135193185,0.9891988893572113,0.014158917396005171,0.06333981532617781,0.045614085421695004,0.016267120838165283,0.0011647266063807814,0.3295427504113335,True,0.1,5.0,0.1,2.0,None
5000,0.1,DP-KMeans,0.7214275528046883,0.13216838037660789,0.8120591068262051,0.08733206465839348,0.849843830382263,0.4008994238095046,0.009907662868499756,0.00024054226288426191,0.3295427504113335,True,,,,,
5000,0.2,DP-GRAMS-C,0.9984293699858894,0.001573169301061749,0.9970441920549625,0.0023613397252251847,0.026007580838087636,0.012495867238423724,0.015960466861724854,0.0003126781599163836,0.3295427504113335,True,0.1,5.0,0.1,2.0,None
5000,0.2,DP-KMeans,0.838380434535605,0.1312518541791999,0.8967466541654325,0.06937958751684882,0.5901389076118769,0.5637466746851953,0.009858572483062744,0.00014297381358187506,0.3295427504113335,True,,,,,
5000,0.5,DP-GRAMS-C,0.9991203149917741,0.0006053166216591653,0.9981483263033061,0.0011442037902203992,0.004755391084181234,0.0025556433590607115,0.015790832042694092,0.0001651825858729489,0.3295427504113335,True,0.1,5.0,0.1,2.0,None
5000,0.5,DP-KMeans,0.8530813469363361,0.14185604204399258,0.9096336309477484,0.07776604966881227,0.4829512193974025,0.5756038171998297,0.014161384105682373,0.00038977552318086346,0.3295427504113335,True,,,,,
5000,1.0,DP-GRAMS-C,0.9994399092657561,0.00011918538871869014,0.998768312943484,0.00026227405766466455,0.0011753448732503338,0.0003870956926156766,0.016747498512268068,0.0009020478039305342,0.3295427504113335,True,0.1,5.0,0.1,2.0,None
5000,1.0,DP-KMeans,0.9205056245719503,0.13055266557999629,0.9531405706545378,0.0705457813531953,0.29515504154727185,0.4453791547894353,0.0262595534324646,0.0012134797437663456,0.3295427504113335,True,,,,,
5000,5.0,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.0004310982031870897,0.00018214880675778368,0.016459012031555177,0.0004240764589067499,0.3295427504113335,True,0.1,5.0,0.1,2.0,None
5000,5.0,DP-KMeans,0.9362718266343867,0.12994328761537446,0.9649185036786155,0.06951959178064122,0.25187538941487164,0.561882030626567,0.02927016019821167,0.000738995288651973,0.3295427504113335,True,,,,,
