n_samples,epsilon,run_idx,seed,pms_mse_truth,pms_runtime_s,timestamp
300,0.1,0,2300010,0.0005923455371834986,0.02849762514233589,2026-04-30 20:35:04
300,0.1,1,2300011,0.0005923455371834986,0.017990707885473967,2026-04-30 20:35:04
300,0.1,2,2300012,0.0005923455371834986,0.015026082750409842,2026-04-30 20:35:05
300,0.1,3,2300013,0.0005923455371834986,0.013482583221048117,2026-04-30 20:35:05
300,0.1,4,2300014,0.0005923455371834986,0.01258883299306035,2026-04-30 20:35:05
300,0.1,5,2300015,0.0005923455371834986,0.012184958904981613,2026-04-30 20:35:05
300,0.1,6,2300016,0.0005923455371834986,0.012186250183731318,2026-04-30 20:35:05
300,0.1,7,2300017,0.0005923455371834986,0.012246125377714634,2026-04-30 20:35:05
300,0.1,8,2300018,0.0005923455371834986,0.012140291277319193,2026-04-30 20:35:05
300,0.1,9,2300019,0.0005923455371834986,0.012196875177323818,2026-04-30 20:35:05
300,0.1,10,2300020,0.0005923455371834986,0.012282207608222961,2026-04-30 20:35:05
300,0.1,11,2300021,0.0005923455371834986,0.012349666096270084,2026-04-30 20:35:05
300,0.1,12,2300022,0.0005923455371834986,0.012119666673243046,2026-04-30 20:35:05
300,0.1,13,2300023,0.0005923455371834986,0.012157042045146227,2026-04-30 20:35:05
300,0.1,14,2300024,0.0005923455371834986,0.01217266684398055,2026-04-30 20:35:05
300,0.1,15,2300025,0.0005923455371834986,0.01218266598880291,2026-04-30 20:35:05
300,0.1,16,2300026,0.0005923455371834986,0.01220058323815465,2026-04-30 20:35:05
300,0.1,17,2300027,0.0005923455371834986,0.012189916800707579,2026-04-30 20:35:05
300,0.1,18,2300028,0.0005923455371834986,0.01218620827421546,2026-04-30 20:35:05
300,0.1,19,2300029,0.0005923455371834986,0.012263332959264517,2026-04-30 20:35:05
300,0.2,0,2300020,0.0005923455371834986,0.013685207813978195,2026-04-30 20:35:08
300,0.2,1,2300021,0.0005923455371834986,0.013056500349193811,2026-04-30 20:35:08
300,0.2,2,2300022,0.0005923455371834986,0.01294637518003583,2026-04-30 20:35:08
300,0.2,3,2300023,0.0005923455371834986,0.012880208902060986,2026-04-30 20:35:08
300,0.2,4,2300024,0.0005923455371834986,0.013149292208254337,2026-04-30 20:35:08
300,0.2,5,2300025,0.0005923455371834986,0.012973624747246504,2026-04-30 20:35:08
300,0.2,6,2300026,0.0005923455371834986,0.013056541793048382,2026-04-30 20:35:08
300,0.2,7,2300027,0.0005923455371834986,0.01334100030362606,2026-04-30 20:35:08
300,0.2,8,2300028,0.0005923455371834986,0.012949999887496233,2026-04-30 20:35:08
300,0.2,9,2300029,0.0005923455371834986,0.013143165968358517,2026-04-30 20:35:08
300,0.2,10,2300030,0.0005923455371834986,0.012845042161643505,2026-04-30 20:35:08
300,0.2,11,2300031,0.0005923455371834986,0.01303104218095541,2026-04-30 20:35:08
300,0.2,12,2300032,0.0005923455371834986,0.013154457788914442,2026-04-30 20:35:08
300,0.2,13,2300033,0.0005923455371834986,0.013017874676734209,2026-04-30 20:35:08
300,0.2,14,2300034,0.0005923455371834986,0.012861167080700397,2026-04-30 20:35:08
300,0.2,15,2300035,0.0005923455371834986,0.012706833891570568,2026-04-30 20:35:08
300,0.2,16,2300036,0.0005923455371834986,0.012632959056645632,2026-04-30 20:35:08
300,0.2,17,2300037,0.0005923455371834986,0.01267645787447691,2026-04-30 20:35:08
300,0.2,18,2300038,0.0005923455371834986,0.012638542335480452,2026-04-30 20:35:08
300,0.2,19,2300039,0.0005923455371834986,0.012671374715864658,2026-04-30 20:35:08
300,0.5,0,2300050,0.0005923455371834986,0.013300333172082901,2026-04-30 20:35:11
300,0.5,1,2300051,0.0005923455371834986,0.012734082993119955,2026-04-30 20:35:11
300,0.5,2,2300052,0.0005923455371834986,0.012841375079005957,2026-04-30 20:35:11
300,0.5,3,2300053,0.0005923455371834986,0.012790499720722437,2026-04-30 20:35:11
300,0.5,4,2300054,0.0005923455371834986,0.012783624697476625,2026-04-30 20:35:11
300,0.5,5,2300055,0.0005923455371834986,0.012731332797557116,2026-04-30 20:35:11
300,0.5,6,2300056,0.0005923455371834986,0.012612082995474339,2026-04-30 20:35:11
300,0.5,7,2300057,0.0005923455371834986,0.01269258325919509,2026-04-30 20:35:11
300,0.5,8,2300058,0.0005923455371834986,0.012686209287494421,2026-04-30 20:35:11
300,0.5,9,2300059,0.0005923455371834986,0.012659833766520023,2026-04-30 20:35:11
300,0.5,10,2300060,0.0005923455371834986,0.012683041859418154,2026-04-30 20:35:11
300,0.5,11,2300061,0.0005923455371834986,0.012665957678109407,2026-04-30 20:35:11
300,0.5,12,2300062,0.0005923455371834986,0.012627374846488237,2026-04-30 20:35:11
300,0.5,13,2300063,0.0005923455371834986,0.012712417170405388,2026-04-30 20:35:11
300,0.5,14,2300064,0.0005923455371834986,0.012592916376888752,2026-04-30 20:35:11
300,0.5,15,2300065,0.0005923455371834986,0.012654250022023916,2026-04-30 20:35:11
300,0.5,16,2300066,0.0005923455371834986,0.012660542037338018,2026-04-30 20:35:11
300,0.5,17,2300067,0.0005923455371834986,0.012651499826461077,2026-04-30 20:35:11
300,0.5,18,2300068,0.0005923455371834986,0.012595125008374453,2026-04-30 20:35:11
300,0.5,19,2300069,0.0005923455371834986,0.012762042228132486,2026-04-30 20:35:11
300,1.0,0,2300100,0.0005923455371834986,0.013677040580660105,2026-04-30 20:35:14
300,1.0,1,2300101,0.0005923455371834986,0.012848207727074623,2026-04-30 20:35:14
300,1.0,2,2300102,0.0005923455371834986,0.01284216670319438,2026-04-30 20:35:14
300,1.0,3,2300103,0.0005923455371834986,0.012785000260919333,2026-04-30 20:35:14
300,1.0,4,2300104,0.0005923455371834986,0.012724791187793016,2026-04-30 20:35:14
300,1.0,5,2300105,0.0005923455371834986,0.012758208904415369,2026-04-30 20:35:14
300,1.0,6,2300106,0.0005923455371834986,0.012692042160779238,2026-04-30 20:35:14
300,1.0,7,2300107,0.0005923455371834986,0.012633250094950199,2026-04-30 20:35:14
300,1.0,8,2300108,0.0005923455371834986,0.012662833090871572,2026-04-30 20:35:14
300,1.0,9,2300109,0.0005923455371834986,0.012622957583516836,2026-04-30 20:35:14
300,1.0,10,2300110,0.0005923455371834986,0.012725458946079016,2026-04-30 20:35:14
300,1.0,11,2300111,0.0005923455371834986,0.012522540986537933,2026-04-30 20:35:14
300,1.0,12,2300112,0.0005923455371834986,0.012857249937951565,2026-04-30 20:35:14
300,1.0,13,2300113,0.0005923455371834986,0.01276349974796176,2026-04-30 20:35:14
300,1.0,14,2300114,0.0005923455371834986,0.012659083120524883,2026-04-30 20:35:14
300,1.0,15,2300115,0.0005923455371834986,0.012737832963466644,2026-04-30 20:35:14
300,1.0,16,2300116,0.0005923455371834986,0.012566499877721071,2026-04-30 20:35:14
300,1.0,17,2300117,0.0005923455371834986,0.012595791835337877,2026-04-30 20:35:14
300,1.0,18,2300118,0.0005923455371834986,0.012703000102192163,2026-04-30 20:35:14
300,1.0,19,2300119,0.0005923455371834986,0.012967583257704973,2026-04-30 20:35:14
600,0.1,0,2600010,0.00021594817546333208,0.036582292057573795,2026-04-30 20:35:17
600,0.1,1,2600011,0.00021594817546333208,0.03571408288553357,2026-04-30 20:35:17
600,0.1,2,2600012,0.00021594817546333208,0.035687374882400036,2026-04-30 20:35:17
600,0.1,3,2600013,0.00021594817546333208,0.035631374921649694,2026-04-30 20:35:17
600,0.1,4,2600014,0.00021594817546333208,0.03551554214209318,2026-04-30 20:35:17
600,0.1,5,2600015,0.00021594817546333208,0.03632154082879424,2026-04-30 20:35:17
600,0.1,6,2600016,0.00021594817546333208,0.0362615417689085,2026-04-30 20:35:17
600,0.1,7,2600017,0.00021594817546333208,0.035367084201425314,2026-04-30 20:35:17
600,0.1,8,2600018,0.00021594817546333208,0.03568895859643817,2026-04-30 20:35:17
600,0.1,9,2600019,0.00021594817546333208,0.036426874808967113,2026-04-30 20:35:17
600,0.1,10,2600020,0.00021594817546333208,0.03584154089912772,2026-04-30 20:35:17
600,0.1,11,2600021,0.00021594817546333208,0.03574325004592538,2026-04-30 20:35:17
600,0.1,12,2600022,0.00021594817546333208,0.03549525002017617,2026-04-30 20:35:17
600,0.1,13,2600023,0.00021594817546333208,0.03576737502589822,2026-04-30 20:35:17
600,0.1,14,2600024,0.00021594817546333208,0.03554912470281124,2026-04-30 20:35:17
600,0.1,15,2600025,0.00021594817546333208,0.03571504168212414,2026-04-30 20:35:17
600,0.1,16,2600026,0.00021594817546333208,0.035384584218263626,2026-04-30 20:35:17
600,0.1,17,2600027,0.00021594817546333208,0.035361959133297205,2026-04-30 20:35:17
600,0.1,18,2600028,0.00021594817546333208,0.03546795807778835,2026-04-30 20:35:18
600,0.1,19,2600029,0.00021594817546333208,0.03550504194572568,2026-04-30 20:35:18
600,0.2,0,2600020,0.00021594817546333208,0.03597224969416857,2026-04-30 20:35:20
600,0.2,1,2600021,0.00021594817546333208,0.03649454191327095,2026-04-30 20:35:20
600,0.2,2,2600022,0.00021594817546333208,0.03563100006431341,2026-04-30 20:35:20
600,0.2,3,2600023,0.00021594817546333208,0.03571820817887783,2026-04-30 20:35:20
600,0.2,4,2600024,0.00021594817546333208,0.035614749882370234,2026-04-30 20:35:20
600,0.2,5,2600025,0.00021594817546333208,0.03564216708764434,2026-04-30 20:35:20
600,0.2,6,2600026,0.00021594817546333208,0.0355248749256134,2026-04-30 20:35:20
600,0.2,7,2600027,0.00021594817546333208,0.0355622498318553,2026-04-30 20:35:20
600,0.2,8,2600028,0.00021594817546333208,0.03565233387053013,2026-04-30 20:35:20
600,0.2,9,2600029,0.00021594817546333208,0.03566470788791776,2026-04-30 20:35:20
600,0.2,10,2600030,0.00021594817546333208,0.035643292125314474,2026-04-30 20:35:20
600,0.2,11,2600031,0.00021594817546333208,0.0355684170499444,2026-04-30 20:35:20
600,0.2,12,2600032,0.00021594817546333208,0.03552870824933052,2026-04-30 20:35:20
600,0.2,13,2600033,0.00021594817546333208,0.03550579212605953,2026-04-30 20:35:20
600,0.2,14,2600034,0.00021594817546333208,0.035737792029976845,2026-04-30 20:35:20
600,0.2,15,2600035,0.00021594817546333208,0.035599791910499334,2026-04-30 20:35:20
600,0.2,16,2600036,0.00021594817546333208,0.03556783311069012,2026-04-30 20:35:20
600,0.2,17,2600037,0.00021594817546333208,0.03548012534156442,2026-04-30 20:35:20
600,0.2,18,2600038,0.00021594817546333208,0.03650170797482133,2026-04-30 20:35:20
600,0.2,19,2600039,0.00021594817546333208,0.03561495803296566,2026-04-30 20:35:20
600,0.5,0,2600050,0.00021594817546333208,0.035783540923148394,2026-04-30 20:35:23
600,0.5,1,2600051,0.00021594817546333208,0.0357492920011282,2026-04-30 20:35:23
600,0.5,2,2600052,0.00021594817546333208,0.035659666173160076,2026-04-30 20:35:23
600,0.5,3,2600053,0.00021594817546333208,0.035615208093076944,2026-04-30 20:35:23
600,0.5,4,2600054,0.00021594817546333208,0.03554899990558624,2026-04-30 20:35:23
600,0.5,5,2600055,0.00021594817546333208,0.035571124870330095,2026-04-30 20:35:23
600,0.5,6,2600056,0.00021594817546333208,0.035534333903342485,2026-04-30 20:35:23
600,0.5,7,2600057,0.00021594817546333208,0.0355515000410378,2026-04-30 20:35:23
600,0.5,8,2600058,0.00021594817546333208,0.035461584106087685,2026-04-30 20:35:23
600,0.5,9,2600059,0.00021594817546333208,0.035467749927192926,2026-04-30 20:35:23
600,0.5,10,2600060,0.00021594817546333208,0.03560979105532169,2026-04-30 20:35:23
600,0.5,11,2600061,0.00021594817546333208,0.035543291829526424,2026-04-30 20:35:23
600,0.5,12,2600062,0.00021594817546333208,0.035540665965527296,2026-04-30 20:35:23
600,0.5,13,2600063,0.00021594817546333208,0.03553891694173217,2026-04-30 20:35:23
600,0.5,14,2600064,0.00021594817546333208,0.03547220816835761,2026-04-30 20:35:23
600,0.5,15,2600065,0.00021594817546333208,0.036134082823991776,2026-04-30 20:35:23
600,0.5,16,2600066,0.00021594817546333208,0.035670333076268435,2026-04-30 20:35:23
600,0.5,17,2600067,0.00021594817546333208,0.03542970772832632,2026-04-30 20:35:23
600,0.5,18,2600068,0.00021594817546333208,0.03552875015884638,2026-04-30 20:35:23
600,0.5,19,2600069,0.00021594817546333208,0.03550362540408969,2026-04-30 20:35:23
600,1.0,0,2600100,0.00021594817546333208,0.03563733398914337,2026-04-30 20:35:25
600,1.0,1,2600101,0.00021594817546333208,0.03598950011655688,2026-04-30 20:35:25
600,1.0,2,2600102,0.00021594817546333208,0.03524524997919798,2026-04-30 20:35:26
600,1.0,3,2600103,0.00021594817546333208,0.03552841627970338,2026-04-30 20:35:26
600,1.0,4,2600104,0.00021594817546333208,0.03554645786061883,2026-04-30 20:35:26
600,1.0,5,2600105,0.00021594817546333208,0.03532654093578458,2026-04-30 20:35:26
600,1.0,6,2600106,0.00021594817546333208,0.03545087482780218,2026-04-30 20:35:26
600,1.0,7,2600107,0.00021594817546333208,0.0354460827074945,2026-04-30 20:35:26
600,1.0,8,2600108,0.00021594817546333208,0.03691345825791359,2026-04-30 20:35:26
600,1.0,9,2600109,0.00021594817546333208,0.03690183302387595,2026-04-30 20:35:26
600,1.0,10,2600110,0.00021594817546333208,0.037010333966463804,2026-04-30 20:35:26
600,1.0,11,2600111,0.00021594817546333208,0.03701312514021993,2026-04-30 20:35:26
600,1.0,12,2600112,0.00021594817546333208,0.03641891712322831,2026-04-30 20:35:26
600,1.0,13,2600113,0.00021594817546333208,0.03632195806130767,2026-04-30 20:35:26
600,1.0,14,2600114,0.00021594817546333208,0.03596416674554348,2026-04-30 20:35:26
600,1.0,15,2600115,0.00021594817546333208,0.03628929192200303,2026-04-30 20:35:26
600,1.0,16,2600116,0.00021594817546333208,0.03619691729545593,2026-04-30 20:35:26
600,1.0,17,2600117,0.00021594817546333208,0.03534662537276745,2026-04-30 20:35:26
600,1.0,18,2600118,0.00021594817546333208,0.03526662476360798,2026-04-30 20:35:26
